Day_x,Artist(s)_x,Album_x,Record label(s)_x,Entering chart position_x,Month,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Entering chart position_y,Day_x,Artist(s)_x,Album_x,Record label(s)_x,Ref._x,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Ref._y,Day_x,Artist(s)_x,Album_x,Record label(s)_x,Ref._x,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Ref._y,Artist(s),Album,Record label(s),Ref.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Krept and Konan,Young Kingz II,Play Dirty[58],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Robb Banks,Tha Leak 3,Self-released[61],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,7.0,Soulja Boy,The Influence,SODMG[61],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
